PlayerID,Occupation,Name,MatchedSocCode,MatchedSocCore,MatchedSocTitle
616,College Tournament winner,Craig Barker,False,,
3063,attorney,Gregg Luchs,23-1011,Lawyers,Attorney
3062,scientist,Kathryn Wildt,False,,
3061,collections account manager,Rob Core,False,,
3060,attorney,Michelle St. James,23-1011,Lawyers,Attorney
3067,high school teacher,Jack Breschard,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",High School Teacher
3066,geology student,Matthew Wiehr,False,,
3065,lieutenant commander in the U.S. Navy,Ernest Fagan,False,,
3064,freelance writer,Abigail Strubel,False,,
3069,economic consultant,Alex Kania,False,,
3068,golf greenskeeper,Armando Martinez,False,,
4267,attorney,Bill McCormick,23-1011,Lawyers,Attorney
1304,physician,Alan Kwaselow,False,,
1305,library assistant,Kathy Eckenroth,43-4121,"Library Assistants, Clerical",Library Assistant
1306,medical student,Vik Vaz,False,,
1307,homemaker,Beth Doner,False,,
1300,civil servant,Jack Patton,False,,
7128,video game reviewer,Ryan Vogt,False,,
1302,college student,"David Charlton, Jr.",False,,
1303,book editor,Steve Dhuey,27-3041,Editors,Book Editor
1308,attorney,Scott Miskimon,23-1011,Lawyers,Attorney
1309,product developer & designer,Marlene Reiss,False,,
4587,administrator,Robin Olson,False,,
498,metal artist and fabricator,Steve Northey,False,,
499,law student,Jamie Weiss,False,,
494,legal assistant and undergraduate student,Jenny Smoyer,False,,
495,newspaper editor,Ken Costa,False,,
496,office manager,Lisa Van Every,False,,
497,office manager,Denise Berger,False,,
490,graduate student,Rokshana Thanadar,False,,
491,actor,Bradley Goodwill,False,,
492,program manager,Kim Lynn,False,,
493,screenwriter,Paul McCudden,False,,
8216,freelance writer,Zanete Barons,False,,
6479,homemaker,Regina Fitzsimmons,False,,
6478,student and teacher,Asad Jaleel,False,,
6473,sophomore,Aidan Mehigan,False,,
6472,senior,Rachel Rothenberg,False,,
6471,newspaper reporter,Clay Wilson,False,,
6470,clinical support specialist,Carolyn Zsoldos,False,,
6477,senior,Hema Karunakaram,False,,
6476,senior,Gabe Orlet,False,,
6475,senior,Stephanie Radke,False,,
6474,freshman,Solomon Howard,False,,
7759,mechanical engineer,Bing Huo,17-2141,Mechanical Engineers,Mechanical Engineer
7758,social media consultant,Lisa Lyons,False,,
7755,after-school program coach,Jesse Tow,False,,
7754,contract specialist,Michael Tvaruzka,False,,
7757,civil liberties lawyer,Emily Garber,False,,
7756,writer,John Sellers,False,,
7751,copy editor,Elisabeth Carrel,27-3041,Editors,Copy Editor
7750,poet and professor,Randy Cauthen,False,,
7753,assistant professor of biology,Tamara Tatum-Broughton,False,,
7752,writer,Joey Falco,False,,
3939,copywriter,Joshua Brown,27-3043,Writers and Authors,Copywriter
3938,digital librarian,Karim Khan,False,,
3935,lawyer and homemaker,Kathleen Hale,False,,
3934,hospice chaplain,Tom Traylor,False,,
3937,real estate broker,Marjorie Fradin,41-9021,Real Estate Brokers,Real Estate Broker
3936,attorney,John Bunnell,23-1011,Lawyers,Attorney
3931,communications director,Josh Kamensky,False,,
3930,journalist,Rachael King,False,,
3933,teacher,Monica Lenhard,False,,
3932,graduate student,Helen Freeman,False,,
1241,sophomore at the University of North Carolina at Chapel Hill,Christopher Chilton,False,,
8333,investment analyst,Tim Kleiman,False,,
8330,engineer,Michael McRee,False,,
8331,associate editor,Shana Aborn,False,,
8336,computer programmer,Mike Lease,15-1131,Computer Programmers,Computer Programmer
8337,defense consultant,Gary Roberts,False,,
8334,technical writer,Lisa Byatt,27-3042,Technical Writers,Technical Writer
6719,architect,Julia Brown,False,,
6716,comedian and actor,Cheech Marin,False,,
6717,Ph.D. student in chemical biology,Amy Tyszkiewicz,False,,
6714,actor,Alan Rachins,False,,
6715,actor,Steven Weber,False,,
6712,high school history teacher,Kori Tyler,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",High School History Teacher
6713,college student,Ashok Bhaskar,False,,
6710,law clerk,Ben Auer,False,,
6711,arts administrator,Rhonda Scarborough,False,,
3264,stay-at-home mom,Deirdre Basile,False,,
4044,study abroad program coordinator,Marc Hirsh,False,,
4045,quality control manager,Tom Bartanen,False,,
4046,legal staffing specialist,Mike Monday,False,,
4047,actor,Jimmy Vollman,False,,
4040,Ph.D. candidate and part-time bank teller,Jeannie Sanke,False,,
4041,speech pathologist,Molly Secrest,29-1127,Speech-Language Pathologists,Speech Pathologist
4042,chef and hotel manager,Arrington Widemire,False,,
4043,library assistant,Holly Bright,43-4121,"Library Assistants, Clerical",Library Assistant
4048,artist,Jeff Robinson,False,,
4049,educator,"Justin T. Bradford, Jr.",False,,
3665,registered nurse,Brian Marshall,29-1141,Registered Nurses,Registered Nurse
3664,city planner,Juli Hinds,19-3051,Urban and Regional Planners,City Planner
3667,director of photography,Eric Trageser,False,,
3666,executive,Laura Ewing-Moore,False,,
3661,executive assistant,Michelle Clum,43-6011,Executive Secretaries and Executive Administrative Assistants,Executive Assistant
3660,writer and producer,Lee Ritchey,False,,
3663,tax attorney,Karen Sommers,23-1011,Lawyers,Tax Attorney
3662,technical editor,Brian Adams,27-3041,Editors,Technical Editor
3669,director of communications,Michael Caro,False,,
3668,playwright and teacher,Thad Davis,False,,
5582,graphics technician,Robyn Rogers,False,,
2578,senior,Bea Vo,False,,
2579,senior,James Sumner,False,,
2576,junior,Enos Williams,False,,
2577,junior,Jennifer Rehmann,False,,
2574,college student,Ray Sun,False,,
2575,senior,Kathy Thompson,False,,
2572,catering coordinator,Lauren High,False,,
2573,milliner,Suzette Mariotti,False,,
2570,senior,Sahir Islam,False,,
2571,pediatrician,Ken Davis,False,,
445,writer,Boze Hadleigh,False,,
3593,professor,Paul Horwitz,False,,
3592,accountant,Ruth Merriam,13-2011,Accountants and Auditors,Accountant
3591,chemical and materials engineer,Steve Snyder,False,,
3590,legislative aide,Debbie Harris,False,,
3597,freelance music teacher,Connie Walters,False,,
3596,administrator,Alison Fowler,False,,
5038,from <i>Seinfeld</i>...,Jason Alexander,False,,
3594,elementary school librarian,Leigh King,False,,
5036,from <i>Veronica's Closet</i>...,Dan Cortese,False,,
5037,from <i>The Carol Burnett Show</i>...,Carol Burnett,False,,
5034,exhibit developer,Matt Phillips,False,,
5035,costume shop supervisor,Doris Nash,False,,
5032,science writer,Kara Gavin,False,,
5033,psychiatrist,Kew Lee,29-1066,Psychiatrists,Psychiatrist
5030,investment manager,Jules Staniewicz,False,,
5031,retired educator,Lucy Anne McKosky,False,,
4435,landscape designer,Brian Baggett,17-1012,Landscape Architects,Landscape Designer
4434,environmental analyst,Al Davis,19-2041,"Environmental Scientists and Specialists, Including Health",Environmental Analyst
4437,bartender,Scott Reed,35-3011,Bartenders,Bartender
4436,business analyst,Heather Mathewson Rainville,13-1111,Management Analysts,Business Analyst
4431,actor,Paul Rouffa,False,,
4430,lawyer,Jamie Capwell,23-1011,Lawyers,Lawyer
4433,health policy analyst,Craig Schneider,False,,
4432,United States Marine Corps major,Garth Sturdevant,False,,
4439,magazine editor,Scott Rogers,False,,
4438,attorney,Jackie Kaufman,23-1011,Lawyers,Attorney
977,law student,Mike Yanochik,False,,
976,letter carrier,Dan Bowman,43-5052,Postal Service Mail Carriers,Letter Carrier
975,senior personnel specialist,Sue Agos,False,,
974,technical specialist,Bronwyn Noble,False,,
973,physician,Ira Schwartz,False,,
972,history teacher,Bev Schwartzberg,False,,
971,financial analyst,Adam Green,False,,
970,private school teacher,Andrew Connally,False,,
979,certified public accountant,Jonathan Lowenberg,13-2011,Accountants and Auditors,Certified Public Accountant
978,customer service representative,Kim Wells,False,,
871,flight attendant,Marielsa Ruiz,False,,
1243,junior at Washington University in St. Louis,Jayanth Iyengar,False,,
8756,administrative assistant,Rhea Hantelman,False,,
3468,writer,June Murphy,False,,
8927,senior at Harvard University,Julia Clark,False,,
8926,junior,Tucker Pope,False,,
8925,senior,Eric Turner,False,,
8924,senior,Kenesha Bennett,False,,
8923,sophomore at Princeton University,Terry O'Shea,False,,
8922,junior,Kevin Shen,False,,
8921,sophomore,Laurie Beckoff,False,,
8920,senior at UCLA,Ben Juster,False,,
8929,sophomore,Erika Sloan,False,,
8928,senior at Ball State University,Alex Sventeckis,False,,
3386,travel agent,Susan Stowe,41-3041,Travel Agents,Travel Agent
3387,writer,Robert Windeler,False,,
5416,lawyer,Tom Aquino,23-1011,Lawyers,Lawyer
7100,museum education coordinator,Jamie O'Hagin,False,,
7101,emergency police dispatcher,Rich Zayatz,False,,
7102,middle school librarian,Kate Palladino,False,,
7103,economist,Adam Bibler,19-3011,Economists,Economist
7104,environmental engineer,Steve Meer,17-2081,Environmental Engineers,Environmental Engineer
7105,English professor and mom,Liz Maziarz,False,,
7106,retail assistant manager,Eugene Henderson,False,,
7107,granny nanny,Sandra McClellan,False,,
7108,social worker,Keri McConaghy,False,,
5410,music store manager,Judy MacLeod Reardon,False,,
5411,bookseller,Nick Aretakis,False,,
5412,housewife and writer,Lucinda Sabino,False,,
3527,stockbroker,Kevin Friloux,False,,
3381,freelance copywriter,Otis Maxwell,False,,
1681,internet technical support advisor,Jordan Lees,False,,
